ts,datetime,open,high,low,close,volume
1766260800,2025-12-20T20:00:00+00:00,12.571,12.636,12.526,12.545,94149.16
1766275200,2025-12-21T00:00:00+00:00,12.549,12.593,12.376,12.482,126964.20999999999
1766289600,2025-12-21T04:00:00+00:00,12.483,12.549,12.479,12.512,53611.82
1766304000,2025-12-21T08:00:00+00:00,12.509,12.701,12.482,12.569,69686.73
1766318400,2025-12-21T12:00:00+00:00,12.571,12.627,12.222,12.33,239515.89
1766332800,2025-12-21T16:00:00+00:00,12.329,12.431,12.268,12.4,158182.76
1766347200,2025-12-21T20:00:00+00:00,12.401,12.483,12.28,12.433,179017.16
1766361600,2025-12-22T00:00:00+00:00,12.433,12.71,12.331,12.549,290868.39
1766376000,2025-12-22T04:00:00+00:00,12.55,12.641,12.493,12.572,150977.39
1766390400,2025-12-22T08:00:00+00:00,12.572,12.738,12.552,12.703,162243.55000000002
1766404800,2025-12-22T12:00:00+00:00,12.701,12.949,12.632,12.802,619889.9099999999
1766419200,2025-12-22T16:00:00+00:00,12.804,12.853,12.42,12.442,424842.34
1766433600,2025-12-22T20:00:00+00:00,12.44,12.668,12.351,12.579,568963.11
1766448000,2025-12-23T00:00:00+00:00,12.579,12.689,12.43,12.491,224623.85
1766462400,2025-12-23T04:00:00+00:00,12.49,12.523,12.221,12.325,209042.48000000004
1766476800,2025-12-23T08:00:00+00:00,12.326,12.397,12.264,12.361,111056.05
1766491200,2025-12-23T12:00:00+00:00,12.36,12.36,12.067,12.276,434569.72
1766505600,2025-12-23T16:00:00+00:00,12.275,12.437,12.229,12.353,387944.63000000006
1766520000,2025-12-23T20:00:00+00:00,12.352,12.51,12.318,12.391,256934.49999999997
1766534400,2025-12-24T00:00:00+00:00,12.39,12.428,12.163,12.26,162594.11
1766548800,2025-12-24T04:00:00+00:00,12.259,12.31,12.11,12.178,144775.11000000002
1766563200,2025-12-24T08:00:00+00:00,12.179,12.242,12.118,12.216,117878.16999999998
1766577600,2025-12-24T12:00:00+00:00,12.215,12.269,12.002,12.175,307043.06
1766592000,2025-12-24T16:00:00+00:00,12.173,12.269,12.115,12.238,251759.80999999997
1766606400,2025-12-24T20:00:00+00:00,12.239,12.365,12.216,12.264,209239.15999999997
1766620800,2025-12-25T00:00:00+00:00,12.264,12.353,12.22,12.324,94784.98
1766635200,2025-12-25T04:00:00+00:00,12.322,12.342,12.273,12.295,46993.97
1766649600,2025-12-25T08:00:00+00:00,12.296,12.355,12.105,12.172,103235.9
1766664000,2025-12-25T12:00:00+00:00,12.176,12.415,12.171,12.363,188501.0
1766678400,2025-12-25T16:00:00+00:00,12.366,12.412,12.26,12.375,155759.84
1766692800,2025-12-25T20:00:00+00:00,12.373,12.383,11.973,12.059,248563.03
1766707200,2025-12-26T00:00:00+00:00,12.058,12.527,12.017,12.377,358053.96
1766721600,2025-12-26T04:00:00+00:00,12.378,12.472,12.308,12.337,178248.12
1766736000,2025-12-26T08:00:00+00:00,12.337,12.451,12.331,12.407,72139.77
1766750400,2025-12-26T12:00:00+00:00,12.407,12.49,12.045,12.167,310440.23
1766764800,2025-12-26T16:00:00+00:00,12.164,12.245,12.111,12.183,287645.17
1766779200,2025-12-26T20:00:00+00:00,12.184,12.244,12.143,12.175,151345.39
1766793600,2025-12-27T00:00:00+00:00,12.175,12.258,12.156,12.238,196169.93
1766808000,2025-12-27T04:00:00+00:00,12.238,12.267,12.17,12.247,127241.27
1766822400,2025-12-27T08:00:00+00:00,12.25,12.284,12.161,12.275,61648.6
1766836800,2025-12-27T12:00:00+00:00,12.276,12.334,12.225,12.308,153265.82
1766851200,2025-12-27T16:00:00+00:00,12.306,12.333,12.25,12.326,154241.47999999998
1766865600,2025-12-27T20:00:00+00:00,12.328,12.533,12.298,12.502,180315.27
1766880000,2025-12-28T00:00:00+00:00,12.501,12.531,12.412,12.485,339690.83999999997
1766894400,2025-12-28T04:00:00+00:00,12.483,12.506,12.407,12.422,101920.26999999999
1766908800,2025-12-28T08:00:00+00:00,12.422,12.492,12.363,12.433,101689.43000000001
1766923200,2025-12-28T12:00:00+00:00,12.434,12.553,12.425,12.512,138984.81
1766937600,2025-12-28T16:00:00+00:00,12.512,12.58,12.322,12.344,256067.74
1766952000,2025-12-28T20:00:00+00:00,12.343,12.489,12.308,12.483,154487.68
1766966400,2025-12-29T00:00:00+00:00,12.484,12.965,12.452,12.921,381710.33
1766980800,2025-12-29T04:00:00+00:00,12.922,13.005,12.715,12.788,277431.33999999997
1766995200,2025-12-29T08:00:00+00:00,12.789,12.822,12.458,12.491,208488.63
1767009600,2025-12-29T12:00:00+00:00,12.489,12.489,12.232,12.388,422076.2
1767024000,2025-12-29T16:00:00+00:00,12.387,12.446,12.263,12.292,233070.72
1767038400,2025-12-29T20:00:00+00:00,12.29,12.346,12.244,12.288,182133.46999999997
1767052800,2025-12-30T00:00:00+00:00,12.287,12.398,12.246,12.373,123334.31
1767067200,2025-12-30T04:00:00+00:00,12.371,12.401,12.29,12.354,112065.95999999999
1767081600,2025-12-30T08:00:00+00:00,12.354,12.538,12.353,12.474,194313.44999999998
1767096000,2025-12-30T12:00:00+00:00,12.474,12.591,12.366,12.517,386039.57999999996
1767110400,2025-12-30T16:00:00+00:00,12.517,12.573,12.332,12.411,312452.14
1767124800,2025-12-30T20:00:00+00:00,12.412,12.419,12.332,12.406,170861.48
1767139200,2025-12-31T00:00:00+00:00,12.405,12.454,12.344,12.38,317568.29000000004
1767153600,2025-12-31T04:00:00+00:00,12.38,12.414,12.317,12.402,363756.33999999997
1767168000,2025-12-31T08:00:00+00:00,12.402,12.467,12.36,12.457,104276.24
1767182400,2025-12-31T12:00:00+00:00,12.463,12.533,12.314,12.374,248244.22000000003
1767196800,2025-12-31T16:00:00+00:00,12.376,12.396,12.182,12.224,507085.27999999997
1767211200,2025-12-31T20:00:00+00:00,12.222,12.298,12.153,12.183,521099.57999999996
1767225600,2026-01-01T00:00:00+00:00,12.184,12.255,12.173,12.198,214834.32
1767240000,2026-01-01T04:00:00+00:00,12.197,12.262,12,12.158,601732.5199999999
1767254400,2026-01-01T08:00:00+00:00,12.158,12.289,12.157,12.277,74599.12
1767268800,2026-01-01T12:00:00+00:00,12.279,12.431,12.226,12.379,187736.61
1767283200,2026-01-01T16:00:00+00:00,12.379,12.503,12.316,12.5,238820.93
1767297600,2026-01-01T20:00:00+00:00,12.5,12.612,12.45,12.608,266019.22
1767312000,2026-01-02T00:00:00+00:00,12.61,12.918,12.565,12.904,420651.4
1767326400,2026-01-02T04:00:00+00:00,12.904,12.969,12.817,12.822,230960.37
1767340800,2026-01-02T08:00:00+00:00,12.823,13.133,12.823,12.937,229627.94
