Date,BTC-USD,IBIT,FBTC,ARKB,BITB,ETHA,MSTR,ETH-USD,SOL-USD,SPY,TLT
2025-11-06,101301.2890625,57.2599983215332,87.94999694824219,33.5099983215332,54.849998474121094,25.0,237.1999969482422,3312.2578125,155.06591796875,664.8021850585938,86.76881408691406
2025-11-07,103372.40625,58.880001068115234,90.44000244140625,34.4900016784668,56.38999938964844,26.190000534057617,241.92999267578125,3435.301025390625,161.7081756591797,665.4567260742188,86.58515930175781
2025-11-10,105996.59375,60.189998626708984,92.43000030517578,35.209999084472656,57.630001068115234,26.979999542236328,238.8800048828125,3568.4599609375,167.36700439453125,675.8406982421875,86.5658187866211
2025-11-11,102997.46875,58.349998474121094,89.58999633789062,34.13999938964844,55.880001068115234,25.989999771118164,231.35000610351562,3415.2822265625,154.56832885742188,677.387939453125,86.96215057373047
2025-11-12,101663.1875,57.59000015258789,88.5,33.72999954223633,55.20000076293945,25.790000915527344,224.61000061035156,3413.09423828125,153.2620391845703,677.7648315429688,87.11681365966797
2025-11-13,99697.4921875,55.59000015258789,85.43000030517578,32.54999923706055,53.25,23.940000534057617,208.5399932861328,3232.757080078125,145.1084747314453,666.5180053710938,86.40147399902344
2025-11-14,94397.7890625,53.474998474121094,82.1500015258789,31.309999465942383,51.2400016784668,23.690000534057617,199.75,3103.78564453125,138.67660522460938,666.4088134765625,85.90847778320312
2025-11-17,92093.875,52.099998474121094,80.0199966430664,30.489999771118164,49.91999816894531,22.709999084472656,195.4199981689453,3024.538818359375,130.8482666015625,660.2003173828125,86.12113952636719
2025-11-18,92948.875,52.65999984741211,80.9000015258789,30.81999969482422,50.439998626708984,23.59000015258789,206.8000030517578,3122.97900390625,140.71438598632812,654.65625,86.09214782714844
2025-11-19,91465.9921875,50.72999954223633,77.93000030517578,29.700000762939453,48.619998931884766,22.239999771118164,186.5,3023.07080078125,136.76695251464844,657.185302734375,85.91814422607422
2025-11-20,86631.8984375,48.959999084472656,75.22000122070312,28.670000076293945,46.90999984741211,21.40999984741211,177.1300048828125,2831.777587890625,133.51715087890625,647.1683349609375,86.25647735595703
