date,open,high,low,close,volume,vwap,returns,log_returns,abs_returns,dow,month,vol_7d,vol_30d,vol_90d,ema9,ema21,ma200,ma365,atr14,adx14,rsi2,rsi14,bb_mid,bb_std,bb_upper,bb_lower
2021-05-12,56753.19,58041.0,48500.0,49498.77,75215403907,53198.24,-0.12782400425421026,-0.13676404545438461,0.12782400425421026,Wednesday,May,1.019247188439278,0.8864306669912302,0.7646647836710969,55354.53978495537,55826.16146785485,38697.550500000005,25902.666027397263,3796.6657142857134,19.46906102173063,10.892497420527661,41.15088982166827,55072.91499999999,3056.247381960971,61185.40976392193,48960.420236078055
2021-05-13,49498.76,52500.0,46000.0,49690.11,96721152926,49422.2175,0.0038655505985301097,0.0038580985558071827,0.0038655505985301097,Thursday,May,1.0338036452550945,0.8528383175163377,0.7641939732870356,54221.6538279643,55268.33860714077,38880.77605,26013.265616438355,4056.862142857142,21.474804429620402,2.5697846828262385,43.37599494858503,54998.05699999999,3172.5516157208153,61343.16023144162,48652.953768558364
2021-05-14,49682.28,51569.56,48895.0,49893.48,55737497453,50010.08,0.004092766146019944,0.00408441356101906,0.004092766146019944,Friday,May,1.0129334405825126,0.8536896727322772,0.764145097462167,53356.019062371444,54779.7150974007,39064.8995,26123.123534246573,3890.2892857142842,23.33728045123233,100.0,34.40566354475759,54988.273499999996,3188.7467874144813,61365.76707482896,48610.77992517103
2021-05-15,49893.48,50730.58,46573.0,46775.51,59161047474,48493.1425,-0.06249253409463518,-0.06453055753689158,0.06249253409463518,Saturday,May,0.9720416007694387,0.8743826521626307,0.7724984752896006,52039.91724989716,54052.06008854609,39230.28615,26225.76301369863,4080.1835714285703,25.44719551641455,6.123131025429572,30.489157738680987,54870.998999999996,3448.4438536732705,61767.88670734654,47974.111292653455
2021-05-16,46771.01,49808.28,43825.0,46450.79,64047871555,46713.77,-0.006942094271126131,-0.00696630271079699,0.006942094271126131,Sunday,May,0.9775688394205608,0.8715542049127241,0.771987365241734,50922.09179991773,53361.0355350419,39396.13485,26327.31816438356,4371.8278571428555,27.792142175164713,0.0,31.497553898432344,54490.858499999995,3928.8754096766584,62348.60931935331,46633.10768064668
2021-05-17,46450.78,46646.15,42101.0,43580.5,74903638450,44694.6075,-0.061792059941284116,-0.06378367004672482,0.061792059941284116,Monday,May,1.0015814318885021,0.8902521277287683,0.7803453401248198,49453.773439934186,52471.89594094718,39546.737349999996,26420.205479452055,4518.909999999999,30.18375947973689,0.0,27.10987110079313,53916.402500000004,4619.103020218239,63154.608540436486,44678.19645956352
2021-05-18,43571.89,45851.0,42300.0,42857.15,56187365084,43645.01,-0.016598019756542404,-0.01673731033593948,0.016598019756542404,Tuesday,May,0.928806088751919,0.8696697379072071,0.7707642846129024,48134.448751947355,51597.8281281338,39693.165550000005,26510.968849315064,4473.299999999998,32.404546976839626,0.0,30.42830267692473,53314.5585,5228.9333109640265,63772.425121928056,42856.69187807194
2021-05-19,42865.05,43591.7,30000.0,36731.75,126358098747,38297.125,-0.14292597617900404,-0.15423098859409237,0.14292597617900404,Wednesday,May,1.0193980867824006,0.9888963333150671,0.8216350313079571,45853.909001557884,50246.36648012164,39807.80025,26584.798958904106,5082.14714285714,35.498151714518045,0.0,13.384962845777395,52472.14599999999,6408.132292125699,65288.41058425139,39655.8814157486
2021-05-20,36735.44,42605.0,35000.0,40623.33,88281943359,38740.9425,0.10594594594594597,0.10070102843920131,0.10594594594594597,Thursday,May,1.460231892663582,1.0685271565033767,0.8318745033768304,44807.79320124631,49371.54498192876,39942.05895,26670.042575342464,5403.075714285712,38.37078468521944,38.84983298359386,24.650292885017592,51613.373999999996,6795.860816079998,65205.095632159995,38021.65236784
2021-05-21,40623.24,42275.99,33501.54,37340.77,82051616861,38435.385,-0.08080479862187573,-0.08425677289406765,0.08080479862187573,Friday,May,1.4829592570038026,1.0894700041777203,0.8466360567948936,43314.38856099705,48277.83816538978,40060.9467,26747.518767123285,5784.39714285714,41.12504581382019,54.24455056633963,20.126752030644226,50587.448500000006,7331.030590823009,65249.50968164603,35925.38731835398
2021-05-22,37333.09,38889.76,35257.52,37476.83,57377273240,37239.3,0.0036437384660252814,0.0036371161328458052,0.0036437384660252814,Saturday,May,1.4932218133841273,1.0855700897112044,0.8443385623489714,42146.87684879765,47295.92833217252,40178.15185,26825.074904109588,5859.569285714286,43.68257400466375,3.97996852531152,16.539613725829852,49630.03,7739.975015402408,65109.980030804814,34150.07996919518
2021-05-23,37476.84,38319.36,31111.0,34758.67,78469274361,35416.4675,-0.07252907996754265,-0.07529383805680047,0.07252907996754265,Sunday,May,1.5106341803446863,1.1079179018743432,0.8486041835075284,40669.23547903812,46156.17757470229,40281.1378,26895.148630136988,6157.650714285714,46.285466501369015,4.766976617079436,15.536419120125885,48507.327000000005,8197.200484817124,64901.72796963425,32112.926030365757
2021-05-24,34758.88,39966.87,34407.17,38878.56,67359584098,37002.87,0.11852841319877894,0.11201390457468607,0.11852841319877894,Monday,May,1.858102848679323,1.1956718587679747,0.8626228978818026,40311.1003832305,45494.57597700208,40397.48955,26977.786520547947,6126.757857142858,47.983163239493926,60.249486330167194,26.304326660601816,47789.159,8387.551231367876,64564.261462735754,31014.05653726425
2021-05-25,38874.53,39878.51,36481.26,38361.81,56211915803,38399.0275,-0.013291387335333416,-0.013380508399974953,0.013291387335333416,Tuesday,May,1.857769904554713,1.1950417607582233,0.8620988819890151,39921.2423065844,44846.14270636553,40511.29885,27058.50569863014,6194.376428571429,49.55959592489563,88.85507608958211,24.079021622026943,46831.465000000004,8311.676141804857,63454.81728360972,30208.11271639029
2021-05-26,38361.81,40900.0,37837.36,39293.23,51346735160,39098.1,0.02427987626235595,0.023989805935578406,0.02427987626235595,Wednesday,May,1.496052115889179,1.1375979988138372,0.8571179544450823,39795.63984526752,44341.3324603323,40633.594549999994,27141.92709589041,5731.636428571429,50.553998403712086,64.3170346022913,32.49650291600895,45974.0935,8151.144207783823,62276.38191556765,29671.80508443236
2021-05-27,39293.23,40440.95,37191.99,38556.88,43210968721,38870.7625,-0.018739869438068713,-0.018917685799264616,0.018739869438068713,Thursday,May,1.2757292966601033,1.1336504836504666,0.8573632789265381,39547.88787621402,43815.47314575663,40748.96445,27222.333534246576,5499.419285714285,51.54420457358232,55.848228472750996,31.25584427435369,45032.918,7845.807180131749,60724.532360263496,29341.3036397365
2021-05-28,38556.88,38900.0,34688.0,35680.47,55200191952,36956.3375,-0.07460173126041314,-0.07753107333486198,0.07460173126041314,Friday,May,1.2540746028962717,1.1553407367860231,0.8700664060508898,38774.40430097122,43075.9274052333,40850.65555,27293.841150684937,5609.236428571428,52.70946616598126,0.0,28.04663199150103,43869.039000000004,7384.349779630994,58637.73855926199,29100.33944073802
2021-05-29,35680.48,37325.0,33650.86,34627.82,45231013335,35321.04,-0.02950213380036759,-0.029946075036352215,0.02950213380036759,Saturday,May,1.263507437218871,1.1561988327752455,0.8710425571876931,37945.08744077697,42307.91764112118,40947.2195,27362.893150684933,5574.705,53.88643148988227,0.0,29.958004447364345,42684.8015,6824.0286890117895,56332.85887802358,29036.744121976422
2021-05-30,34627.81,36500.0,33333.0,35669.44,31646080921,35032.5625,0.030080438214129535,0.02963689454578486,0.030080438214129535,Sunday,May,1.1650899272859354,1.1196716067407622,0.8498291901842938,37489.95795262158,41704.419673746524,41047.037749999996,27434.041397260276,5373.542142857143,55.008961822120675,49.736662416975875,32.62333229860016,41674.953,6240.1273514755285,54155.207702951055,29194.698297048944
2021-05-31,35669.44,37534.09,34183.0,37279.31,39009847639,36166.46,0.045133032646433424,0.04414418128219073,0.045133032646433424,Monday,May,0.7916920032846781,1.1376791351340352,0.854240936683639,37447.828362097265,41302.1369761332,41151.88025,27510.29547945206,5288.252142857143,55.505585130857476,100.0,39.41405957314125,40701.259000000005,5195.400010599384,51092.05902119877,30310.458978801238
2021-06-01,37276.23,37918.97,35669.14,36685.0,34639423297,36887.335,-0.015942086910943343,-0.016070528896455896,0.015942086910943343,Tuesday,June,0.7935621856550455,1.137326217846449,0.8507818151371996,37295.26268967781,40882.39725103018,41253.60745,27582.83257534247,5195.31142857143,55.761554628658715,73.03713852770647,39.585692047016465,40060.5705,4830.691056653988,49721.95261330798,30399.188386692025
2021-06-02,36684.99,38237.37,35920.0,37577.91,33070867190,37105.0675,0.02433992094861659,0.02404842558414334,0.02433992094861659,Wednesday,June,0.7936998882155522,1.1419143404416299,0.8491072918465001,37351.79215174225,40581.98931911835,41361.08695,27659.69682191781,4390.002142857144,55.82247871837713,60.03886445852011,51.733896053120134,39454.9605,4288.762846679428,48032.486193358855,30877.434806641148
2021-06-03,37581.83,39489.82,37184.88,39248.55,35460750427,38376.27,0.04445803398858539,0.04349812312075991,0.04445803398858539,Thursday,June,0.8586145339653638,1.1391355318969763,0.8539825770991751,37731.143721393804,40460.767562834866,41477.49525000001,27740.739232876713,4011.4264285714294,55.18747841459101,100.0,46.900800735811295,38922.714,3516.05668442334,45954.82736884668,31890.60063115332
2021-06-04,39248.54,39291.24,35593.22,36856.52,41831090187,37747.38,-0.06094569098731051,-0.06288196437215653,0.06094569098731051,Friday,June,0.7856875530230549,1.1068800792407851,0.8622991604503425,37556.218977115044,40133.10869348624,41578.14465,27814.89947945205,3648.8242857142864,54.89352533784031,41.12172536779993,48.862679299753346,38426.764500000005,3013.7742734117965,44454.3130468236,32399.215953176412
2021-06-05,36856.53,37921.35,34832.17,35539.49,35959473399,36287.385,-0.03573397596951633,-0.036388063903299024,0.03573397596951633,Saturday,June,0.803600441202193,1.1095622828617544,0.8601298627813398,37152.87318169203,39715.506994078394,41667.4453,27885.930383561645,3610.034285714286,54.75552985409827,0.0,45.68905974355185,37881.1995,2412.3849029506105,42705.96930590122,33056.429694098784
2021-06-06,35539.97,36477.86,35258.0,35800.48,28913440585,35769.0775,0.007343661937748935,0.007316828542594564,0.007343661937748935,Sunday,June,0.7758366625645522,1.1068363192197381,0.8580541146457824,36882.39454535363,39359.595449162174,41757.53315,27957.516082191785,3182.284285714286,54.62739119062352,16.539080620017785,52.602850065982544,37492.1985,2044.1617683443842,41580.522036688766,33403.87496331123
2021-06-07,35800.48,36812.39,33333.0,33575.91,33683936663,34880.445,-0.062137993680531634,-0.06415245559636386,0.062137993680531634,Monday,June,0.7931091746127027,1.1087491069482789,0.8598262487053082,36221.09763628291,38833.8058628747,41836.3048,28022.79221917808,3033.690714285714,54.850294674361784,10.500249440770077,35.36598491517897,37028.1365,1801.1822081045498,40630.5009162091,33425.7720837909
2021-06-08,33567.26,34069.0,31004.95,33402.13,49902050442,33010.835,-0.0051757346264034165,-0.005189175137267916,0.0051757346264034165,Tuesday,June,0.7953854327223985,1.109324219533537,0.8586391974776342,35657.30410902633,38340.01714806791,41909.9392,28087.50624657534,3009.8907142857142,55.41044109416348,0.0,36.04839045423298,36861.6555,1975.4632941280147,40812.58208825603,32910.72891174397
2021-06-09,33402.13,37573.99,32408.53,37403.86,53972919008,35197.1275,0.11980463521338325,0.11315423724663153,0.11980463521338325,Wednesday,June,1.2394826510503034,1.2026250395221845,0.891188930253184,36006.615287221066,38254.91195278901,42003.35245,28163.189671232878,3160.0921428571423,54.07735291869764,95.83811318856844,45.468025976630244,36700.682,1773.6698592751252,40248.02171855025,33153.34228144975
2021-06-10,37404.75,38425.67,35800.0,36694.05,43576032854,37081.1175,-0.018976918424996714,-0.019159291074807856,0.018976918424996714,Thursday,June,1.1880277552870984,1.1988324578489664,0.8916247870701052,36144.10222977685,38113.01541162637,42094.6344,28236.614356164384,3115.5714285714284,52.448196112480275,84.93464981725725,45.525990292218175,36668.346,1767.269818586966,40202.88563717393,33133.806362826064
2021-06-11,36694.91,37695.0,35944.0,37338.44,38699736985,36918.0875,0.01756115773538225,0.017408742410766384,0.01756115773538225,Friday,June,1.1076194685831773,1.1279925371280857,0.8803118393101207,36382.969783821485,38042.59946511488,42189.4025,28313.519232876715,2939.785714285714,50.93540764956415,47.58455176487969,54.460186599506194,36661.4265,1764.2059735197818,40189.83844703957,33133.014552960434
2021-06-12,37340.08,37448.0,34635.47,35557.33,37924228550,36245.22,-0.047701778649563265,-0.04887703552468035,0.047701778649563265,Saturday,June,1.1362392159006842,1.1356709850139324,0.8823385528905329,36217.841827057186,37816.665877377156,42271.32495,28385.007342465757,2878.242142857143,49.85776277928262,26.567305710162827,52.40621306263232,36701.3595,1727.527675401663,40156.414850803325,33246.30414919667
