date,open,high,low,close,volume,vwap
2022-08-24,21526.74,21925,21147.41,21367.12,31962253368,21491.5675
2022-08-25,21367.12,21818.32,21307.32,21561.86,31028679593,21513.655
2022-08-26,21561.49,21878.05,20112.78,20240.72,42326789564,20948.26
2022-08-27,20240.63,20389.14,19800,20036.69,30116729776,20116.615
2022-08-28,20035.3,20164.26,19513.74,19554.03,24366810591,19816.8325
2022-08-29,19552.31,20427.19,19545.57,20286.97,32637854078,19953.01
2022-08-30,20286.95,20582.64,19540.14,19813.17,34483360283,20055.725
2022-08-31,19813.97,20489,19799.97,20048.26,33225232872,20037.8
2022-09-01,20048.27,20205.53,19561.01,20133.65,30182031010,19987.115
2022-09-02,20132.67,20444,19755,19953.74,29123998928,20071.3525
2022-09-03,19953.4,20053.9,19655,19835.47,23613051457,19874.4425
2022-09-04,19833.59,20026.2,19588.27,20004.73,25245861652,19863.1975
2022-09-05,20003.85,20060,19633.11,19794.58,28813460025,19872.885
2022-09-06,19794.59,20179.86,18663.25,18790.91,43403978910,19357.1525
2022-09-07,18790.77,19466.09,18527,19293.52,35239757134,19019.345
2022-09-08,19293.03,19460.7,19014.43,19321.87,32194477850,19272.5075
2022-09-09,19322.56,21616.21,19294.49,21364.5,48469528171,20399.44
2022-09-10,21366.61,21815.15,21127.1,21651.52,36913738894,21490.095
2022-09-11,21656.03,21865.66,21356.37,21831.72,34493951963,21677.445
2022-09-12,21830.16,22490.05,21555,22402.71,50212088965,22069.48
2022-09-13,22402.58,22800,19855,20174.78,51091116622,21308.09
2022-09-14,20174.78,20545,19625,20227.77,37872380889,20143.1375
2022-09-15,20227.7,20336.42,19500,19703.67,36389011503,19941.9475
2022-09-16,19703.65,19890.95,19305,19801.04,30123362273,19675.16
2022-09-17,19800.26,20183.14,19748.89,20113.37,24957448100,19961.415
2022-09-18,20113.37,20119.08,19335.57,19417.64,31254779144,19746.415
2022-09-19,19417.56,19689.62,18255,19540.38,40177002624,19225.64
2022-09-20,19538.31,19638.46,18722,18876.91,36791346508,19193.92
2022-09-21,18876.14,19949.97,18153.13,18462.64,46363793975,18860.47
2022-09-22,18462.66,19521.8,18358.63,19401.25,41135767926,18936.085
2022-09-23,19399.93,19500,18529,19286.01,38896078052,19178.735
2022-09-24,19286.03,19311.4,18808.13,18923.2,26149643168,19082.19
2022-09-25,18920.93,19184.3,18619.88,18808.61,23359966112,18883.43
2022-09-26,18806.3,19320.86,18681.02,19228,44148798321,19009.045
2022-09-27,19226.94,20383.15,18821.55,19077.57,58571439619,19377.3025
2022-09-28,19077.56,19773.67,18487,19412.07,53071298734,19187.575
2022-09-29,19412.37,19646.66,18845.3,19595.57,41037843771,19374.975
2022-09-30,19595.59,20182.72,19154.38,19426.11,43975248085,19589.7
2022-10-01,19423.57,19486.43,19160,19315.27,18719537670,19346.3175
2022-10-02,19315.26,19398.94,18923.81,19059.17,20765955327,19174.295
2022-10-03,19059.1,19717.67,18958.29,19633.46,30484729489,19342.13
2022-10-04,19632.43,20479.43,19495.32,20345.19,35887278685,19988.0925
2022-10-05,20345.27,20371.15,19750,20161.62,33223790572,20157.01
2022-10-06,20162.15,20455.79,19855.19,19965.64,34711412966,20109.6925
2022-10-07,19963.75,20065.26,19325,19533.05,29227315390,19721.765
2022-10-08,19531.68,19628.78,19250,19419.39,16437423167,19457.4625
2022-10-09,19421.49,19563.28,19321,19443.47,16837262532,19437.31
2022-10-10,19442.7,19528.04,19028.08,19132.83,27425022774,19282.9125
2022-10-11,19130.8,19265.69,18855.19,19058.11,28711532910,19077.4475
2022-10-12,19058.42,19235.26,18971.51,19155.92,24950173846,19105.2775
2022-10-13,19153.97,19509.23,18131,19378.65,44219840004,19043.2125
2022-10-14,19375.55,19954.14,19076.83,19178,38452356727,19396.13
2022-10-15,19179.15,19229.12,18983,19070.24,16192235532,19115.3775
2022-10-16,19070.62,19425.49,19065.23,19264.44,17988916650,19206.445
2022-10-17,19261.62,19679.46,19154.72,19550.4,27472552998,19411.55
2022-10-18,19550.39,19702.73,19091.77,19328.76,30580012344,19418.4125
2022-10-19,19328.75,19361,19062.1,19124.18,22425387184,19219.0075
2022-10-20,19123.77,19349.04,18905,19042.48,24493974420,19105.0725
2022-10-21,19043.66,19254.52,18659,19166.45,32459287866,19030.9075
2022-10-22,19164.92,19257.66,19110.46,19209.1,16104440957,19185.535
2022-10-23,19209.09,19698.1,19070.92,19572.44,22128794335,19387.6375
2022-10-24,19572.2,19603.57,19159.35,19330.41,30202235805,19416.3825
2022-10-25,19332.11,20420.88,19240.76,20086.28,47761524910,19770.0075
2022-10-26,20086.27,21022.81,20055.85,20775.4,58895950537,20485.0825
2022-10-27,20773.59,20878.17,20196.01,20296.97,49625110402,20536.185
2022-10-28,20295.77,20755.09,20000,20597.91,43994715910,20412.1925
2022-10-29,20597.34,21080,20561.2,20823.53,40369840645,20765.5175
2022-10-30,20822.38,20939.35,20523.92,20630.68,31486345556,20729.0825
2022-10-31,20629.21,20837.68,20237,20489.94,45668466815,20548.4575
2022-11-01,20489.55,20691,20326.55,20479.63,39819303159,20496.6825
2022-11-02,20480.34,20805,20059.53,20151.4,55552169483,20374.0675
2022-11-03,20151.29,20390.82,20032.02,20206.88,43228750179,20195.2525
2022-11-04,20208.02,21298.76,20181.61,21144.2,64072727950,20708.1475
2022-11-05,21149.03,21478.8,21082.54,21300.45,37846047609,21252.705
2022-11-06,21300.45,21365.89,20886.26,20909.17,35082693210,21115.4425
2022-11-07,20908.15,21069.46,20394.34,20593.49,53510852236,20741.36
2022-11-08,20593.34,20675,17500,18550.25,118992465607,19329.6475
2022-11-09,18546.07,18590.34,15512,15891.96,102905151606,17135.0925
2022-11-10,15894.77,18140.62,15720,17553.89,83202283721,16827.32
2022-11-11,17555.44,17641.32,16336.05,17013.62,55871616488,17136.6075
2022-11-12,17014.78,17067.7,16595.25,16783.33,29717699419,16865.265
2022-11-13,16783.32,16926.57,16214.95,16301.39,27209183682,16556.5575
2022-11-14,16298.75,17169.68,15790.25,16590.73,49630243054,16462.3525
2022-11-15,16588.41,17107.88,16502.85,16877.93,36599436183,16769.2675
2022-11-16,16879.37,16994.31,16358.66,16645.24,33925512989,16719.395
2022-11-17,16646.58,16736.7,16396,16680.47,27868914022,16614.9375
2022-11-18,16680.47,16984.08,16526.28,16680.59,26862218609,16717.855
2022-11-19,16678.85,16802,16534.83,16683.02,16106223492,16674.675
2022-11-20,16680.7,16733.19,16154.65,16252.53,21313378652,16455.2675
2022-11-21,16252.43,16279.99,15460,15760.14,37429485518,15938.14
2022-11-22,15758.96,16294.5,15596.22,16199.71,30726828760,15962.3475
2022-11-23,16201.15,16700,16142.99,16587,32958875628,16407.785
2022-11-24,16585.83,16797.28,16450.62,16587.61,26129037414,16605.335
2022-11-25,16587.6,16610.08,16333,16510.9,18678255976,16510.395
