don,adx_veto,stop_n,max_units_strong,pyramid_step_n,BTC_tr_mar,BTC_va_mar,BTC_va_cagr,BTC_va_dd,BTC_win,ETH_tr_mar,ETH_va_mar,ETH_va_cagr,ETH_va_dd,ETH_win,mean_tr_mar,mean_va_mar
30/15-70/25,20.0,1.5,4,1.0,1.63,0.26,0.066,-0.258,0.312,0.28,0.06,0.024,-0.387,0.125,0.955,0.16
30/15-70/25,25.0,1.5,4,0.5,1.22,0.02,0.005,-0.285,0.25,0.68,-0.05,-0.015,-0.294,0.273,0.95,-0.015000000000000001
30/15-70/25,15.0,1.5,2,1.0,0.99,0.26,0.056,-0.214,0.278,0.9,0.47,0.117,-0.251,0.308,0.9450000000000001,0.365
30/15-70/25,15.0,2.0,2,1.0,0.98,0.16,0.035,-0.229,0.294,0.9,0.44,0.113,-0.258,0.308,0.94,0.3
30/15-70/25,25.0,1.5,4,1.0,1.42,0.0,0.001,-0.27,0.231,0.46,-0.12,-0.037,-0.311,0.273,0.94,-0.06
20/10-55/20,15.0,2.5,4,1.0,0.95,0.63,0.117,-0.186,0.389,0.92,0.51,0.173,-0.339,0.235,0.935,0.5700000000000001
30/15-70/25,15.0,1.5,2,0.5,0.99,0.26,0.069,-0.263,0.294,0.87,0.45,0.12,-0.268,0.308,0.9299999999999999,0.355
20/10-55/20,15.0,1.5,2,1.0,0.8,0.52,0.089,-0.173,0.368,1.04,0.57,0.136,-0.238,0.294,0.92,0.5449999999999999
30/15-70/25,15.0,1.5,4,1.0,0.92,0.21,0.053,-0.257,0.278,0.9,0.61,0.152,-0.25,0.357,0.91,0.41
30/15-70/25,20.0,2.5,4,1.0,1.42,0.08,0.021,-0.263,0.333,0.4,0.03,0.012,-0.386,0.133,0.9099999999999999,0.055
30/15-70/25,15.0,2.0,4,1.0,0.91,0.13,0.036,-0.271,0.294,0.9,0.48,0.136,-0.282,0.286,0.905,0.305
30/15-70/25,15.0,2.5,2,1.0,0.91,0.32,0.063,-0.194,0.333,0.9,0.41,0.108,-0.261,0.308,0.905,0.365
