top_n,tier_cutoff,trailing_stop,atr_stop_mult,rsi_hi,use_regime,train_cagr,train_dd,train_mar,train_win,val_cagr,val_dd,val_mar,val_win,val_sharpe
8,60.0,0.2,2.5,80.0,False,0.053296688138211534,-0.169227927208772,0.31494026439537265,0.42857142857142855,0.5176531550006311,-0.21746542395143087,2.380392917617307,0.5073529411764706,1.5542532779371192
8,60.0,0.25,2.5,80.0,False,0.053296688138211534,-0.169227927208772,0.31494026439537265,0.42857142857142855,0.5361194153286655,-0.2005051987835048,2.673842965575868,0.5101289134438306,1.5903716664824583
8,60.0,0.3,2.5,80.0,False,0.053296688138211534,-0.169227927208772,0.31494026439537265,0.42857142857142855,0.5648056241367474,-0.20050519878350503,2.8169126165481364,0.5148148148148148,1.6364476007963622
8,60.0,0.2,2.5,80.0,True,0.05131413221435577,-0.16380184950010734,0.31326955324959344,0.4438202247191011,0.443737552916039,-0.2356892467538474,1.882722945690756,0.49906890130353815,1.4457094751874697
8,60.0,0.25,2.5,80.0,True,0.05131413221435577,-0.16380184950010734,0.31326955324959344,0.4438202247191011,0.4542851275687194,-0.23568924675384717,1.9274749859214952,0.5018656716417911,1.4683622109299752
8,60.0,0.3,2.5,80.0,True,0.05131413221435577,-0.16380184950010734,0.31326955324959344,0.4438202247191011,0.47959952087281477,-0.2356892467538475,2.034880791034585,0.5065666041275797,1.5140946836772013
8,60.0,0.2,2.0,80.0,False,0.05320793058178808,-0.17140618898035653,0.31042012484091697,0.4060324825986079,0.42608119076601536,-0.22268338388500675,1.913394629327363,0.4603174603174603,1.3649580655630602
8,60.0,0.25,2.0,80.0,False,0.05320793058178808,-0.17140618898035653,0.31042012484091697,0.4060324825986079,0.4453754658514446,-0.2126221492682383,2.094680480769532,0.4628975265017668,1.407614578050072
8,60.0,0.3,2.0,80.0,False,0.05320793058178808,-0.17140618898035653,0.31042012484091697,0.4060324825986079,0.461305165385798,-0.21262214926823841,2.169600707045002,0.4645390070921986,1.4342512740256654
8,50.0,0.3,2.0,80.0,True,0.045548623973739266,-0.146871909813987,0.3101248157760494,0.40633245382585753,0.4359950827912207,-0.22374048685019798,1.9486642267080365,0.4506065857885615,1.3805443499312657
8,60.0,0.2,2.0,70.0,True,0.039922046319852855,-0.12956300493067907,0.30812843790719896,0.41397849462365593,0.3334744494442834,-0.29296088457684144,1.138290014129226,0.4472361809045226,1.1811095508122156
8,60.0,0.25,2.0,70.0,True,0.039922046319852855,-0.12956300493067907,0.30812843790719896,0.41397849462365593,0.3413301149379391,-0.2929608845768411,1.1651047389174958,0.44798657718120805,1.2002667015109285
8,60.0,0.3,2.0,70.0,True,0.039922046319852855,-0.12956300493067907,0.30812843790719896,0.41397849462365593,0.3545048857495632,-0.292960884576841,1.2100758306407275,0.4494949494949495,1.228356537999656
12,70.0,0.2,2.5,80.0,False,0.04714899068579803,-0.15311959081191107,0.3079226533704291,0.43271767810026385,0.36011971451604596,-0.18506433818300516,1.9459163124120284,0.48785046728971965,1.2578990024019783
12,70.0,0.25,2.5,80.0,False,0.04714899068579803,-0.15311959081191107,0.3079226533704291,0.43271767810026385,0.37251083373573546,-0.18506433818300527,2.0128720497590913,0.49063670411985016,1.288573268797613
12,70.0,0.3,2.5,80.0,False,0.04714899068579803,-0.15311959081191107,0.3079226533704291,0.43271767810026385,0.39581523093671156,-0.18669029213721822,2.1201703977504387,0.49343339587242024,1.337307094904394
8,50.0,0.2,3.0,80.0,True,0.05166396156913966,-0.16886752043703568,0.305943744749916,0.4435028248587571,0.5085626533001808,-0.22892143030590384,2.2215598278439774,0.5072992700729927,1.5214571535395693
8,50.0,0.25,3.0,80.0,True,0.05166396156913966,-0.16886752043703568,0.305943744749916,0.4435028248587571,0.5279409819716019,-0.21764723220897264,2.4256728496538043,0.5128205128205128,1.5533968082148883
8,70.0,0.2,2.5,80.0,False,0.0468366859420295,-0.15311280625389057,0.3058965940730342,0.42934782608695654,0.3362200250509264,-0.20073576109339575,1.6749383528851856,0.498989898989899,1.1958187228226833
8,70.0,0.25,2.5,80.0,False,0.0468366859420295,-0.15311280625389057,0.3058965940730342,0.42934782608695654,0.3475387468993292,-0.20540836656909134,1.6919405606705447,0.5020242914979757,1.223948035687927
